Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2018,3,United States and Canada,Holiday/leisure/recreation,7.8,554.0,31.0,3330900,1032579.0,Summer
2018,4,United States and Canada,Holiday/leisure/recreation,7.2,284.0,29.0,2412800,699712.0,Autumn
2019,1,United States and Canada,Holiday/leisure/recreation,6.3,130.0,22.0,2026700,445874.0,Winter
2019,2,United States and Canada,Holiday/leisure/recreation,6.9,446.0,30.0,3021800,906540.0,Spring
2019,3,United States and Canada,Holiday/leisure/recreation,7.1,529.0,29.0,3334400,966975.9999999999,Summer
2019,4,United States and Canada,Holiday/leisure/recreation,5.8,185.0,23.0,2424600,557658.0,Autumn
2012,1,United States and Canada,Other reason for journey,8.7,8.0,12.0,1165100,139812.0,Winter
2012,2,United States and Canada,Other reason for journey,11.0,17.0,18.0,1817300,327114.0,Spring
2012,3,United States and Canada,Other reason for journey,10.3,15.0,9.0,2096700,188703.0,Summer
2012,4,United States and Canada,Other reason for journey,13.3,7.0,7.0,1438000,100660.00000000001,Autumn
2013,1,United States and Canada,Other reason for journey,9.7,9.0,22.0,1251700,275374.0,Winter
2013,2,United States and Canada,Other reason for journey,8.0,24.0,15.0,1893000,283950.0,Spring
2013,3,United States and Canada,Other reason for journey,4.9,10.0,10.0,2261000,226100.0,Summer
2013,4,United States and Canada,Other reason for journey,15.3,15.0,16.0,1580100,252816.0,Autumn
2014,1,United States and Canada,Other reason for journey,6.3,10.0,18.0,1342500,241650.0,Winter
2014,2,United States and Canada,Other reason for journey,6.3,22.0,16.0,2126600,340256.0,Spring
2014,3,United States and Canada,Other reason for journey,3.0,9.0,11.0,2440400,268444.0,Summer
2014,4,United States and Canada,Other reason for journey,8.2,15.0,15.0,1694900,254235.0,Autumn
2015,1,United States and Canada,Other reason for journey,5.7,10.0,12.0,1531300,183756.0,Winter
2015,2,United States and Canada,Other reason for journey,9.8,38.0,21.0,2344900,492429.0,Spring
2015,3,United States and Canada,Other reason for journey,3.0,12.0,11.0,2770900,304799.0,Summer
2015,4,United States and Canada,Other reason for journey,9.0,18.0,16.0,1995900,319344.0,Autumn
2016,1,United States and Canada,Other reason for journey,6.4,12.0,14.0,1784700,249858.00000000003,Winter
2016,2,United States and Canada,Other reason for journey,5.8,41.0,19.0,2598900,493791.0,Spring
2016,3,United States and Canada,Other reason for journey,3.0,19.0,14.0,3061500,428610.00000000006,Summer
